code,shortname,gname,Density,Centrality,RCA
K010201,Kemiskinan,01_Kemiskinan,0.7095467,21.87587,1
K010401A,Lahir Faskes (B40),01_Lahir Faskes (B40),0.6949487,26.85258,1
K010401F,RT Kumuh Kota (B40),01_RT Kumuh Kota (B40),0.6961843,17.92433,1
K010401G,APM SD (B40),01_APM SD (B40),0.6857567,25.13822,1
K010401H,APM SMP (B40),01_APM SMP (B40),0.6984436,25.33774,1
K010401I,APM SMA (B40),01_APM SMA (B40),0.7206143,25.75129,-1
K010401J,Akta Lahir (B40),01_Akta Lahir (B40),0.7128592,27.09486,-1
K010401K,Listrik (B40),01_Listrik (B40),0.7021199,27.15563,1
K020101A,Underweight,02_Underweight,0.6888114,21.98819,1
K020201,Stunting,02_Stunting,0.6963692,22.71994,1
K020202_1,Wasting,02_Wasting,0.7160026,21.68666,-1
K020202_2,Gemuk,02_Gemuk,0.6949618,20.70999,1
K030102,Lahir Tenkes,03_Lahir Tenkes,0.7206981,27.08763,0
K030102A,Lahir Faskes,03_Lahir Faskes,0.6935759,27.02479,1
K030801A,Unmet need kesehatan,03_Unmet need kesehatan,0.7091141,22.38897,1
K030802,Asuransi,03_Asuransi,0.7041286,22.96347,1
K030A01,Merokok,03_Merokok,0.7061723,20.47985,1
K040101D,APK SD,04_APK SD,0.7071143,21.46356,-1
K040101E,APK SMP,04_APK SMP,0.6985421,23.46091,1
K040101F,APK SMA,04_APK SMA,0.6967692,24.57684,1
K040101G,Rata2 Lama Sekolah,04_Rata2 Lama Sekolah,0.7081165,24.44135,1
K040202A,APK PAUD,04_APK PAUD,0.7184861,23.14289,0
K040301B,APK PT,04_APK PT,0.7068201,23.80085,1
K040401_1,Remaja TIK,04_Remaja TIK,0.7090204,26.67107,1
K040401_2,Dewasa TIK,04_Dewasa TIK,0.7227464,25.97527,1
K040501_1,APM SD (P/L),04_APM SD (P/L),0.6892155,11.34229,-1
K040501_2,APM SMP (P/L),04_APM SMP (P/L),0.6662357,7.47616,1
K040501_3,APM  SMA (P/L),04_APM  SMA (P/L),0.6796962,6.610193,-1
K040501_4,APK PT (P/L),04_APK PT (P/L),0.6971991,11.57234,-1
K040601A,Melek Huruf >= 15,04_Melek Huruf >=15,0.7249364,25.29385,0
K040601B_1,Melek Huruf 15-24,04_Melek Huruf 15-24,0.6974356,26.17892,1
K040601B_2,Melek Huruf 15-59,04_Melek Huruf 15-59,0.6897256,26.08862,1
K050301_1,Kawin <15,05_Kawin <15,0.6971958,25.68122,1
K050301_2,Kawin <18,05_Kawin <18,0.723048,20.96298,0
K060101A,Air Minum Layak,06_Air Minum Layak,0.7008874,22.19064,-1
K060201B,Sanitasi Layak,06_Sanitasi Layak,0.7034212,26.35846,1
K070102B,Gas RT,07_Gas RT,0.7022845,26.39552,1
K080101,Laju PDB per kap.,08_Laju PDB per kap.,0.7191803,25.56974,-1
K080101A,PDB per kap.,08_PDB per kap.,0.7115185,19.88739,1
K080201,PDB riil per org bekerja,08_PDB riil per org bekerja,0.7191826,25.48331,-1
K080301,Informal non-pertanian (%),08_Informal non-pertanian (%),0.7297862,20.52028,1
K080301A,TK Formal (%),08_TK Formal (%),0.7223051,24.66605,1
K080301B,Informal Pertanian (%),08_Informal Pertanian (%),0.7299216,15.44135,-1
K080501,Upah Rata2,08_Upah Rata2,0.7196643,20.36228,1
K080502,Pengangguran Terbuka,08_Pengangguran Terbuka,0.6974469,20.06028,-1
K080502A,Setengah Pengangguran,08_Setengah Pengangguran,0.7164471,22.53883,1
K090202,TK Manufaktur,09_TK Manufaktur,0.700282,23.87244,1
K090C01A,HP,09_HP,0.718439,25.16704,1
K100101,Gini,10_Gini,0.7117277,22.35767,-1
K100201,< 50% med. Pendapatan,10_< 50% med. Pendapatan,0.7011165,21.16997,1
K110101A,Hunian Layak,11_Hunian Layak,0.7085007,25.71999,1
K110502A,Kerugian ekonomi akibat bencana,11_Kerugian ekonomi akibat bencana,0.7035633,25.76172,1
K130102_1,Korban meninggal,13_Korban meninggal,0.7040001,25.96875,1
K130102_2,Korban Luka,13_Korban Luka,0.7034446,25.91512,1
K160103A,Korban kekerasan,16_Korban kekerasan,0.6879722,19.67342,1
K160901,Akta balita,16_Akta balita,0.7139035,26.87378,-1
K170801,Internet,17_Internet,0.7260613,25.32472,1
