prox1,prox2,prox3,prox4,prox5,prox6,prox7,prox8,prox9,prox10,prox11,prox12,prox13,prox14,prox15,prox16,prox17,prox18,prox19,prox20,prox21,prox22,prox23,prox24,prox25,prox26,prox27,prox28,prox29,prox30,prox31,prox32,prox33,prox34,prox35,prox36,prox37,prox38,prox39,prox40,prox41,prox42,prox43,prox44,prox45,prox46,prox47,prox48,prox49,prox50,prox51,prox52,prox53,prox54,prox55,prox56,prox57
0,0.3964912,0.3478261,0.4144737,0.3858921,0.3730769,0.3928571,0.4135593,0.4057971,0.3574879,0.4202898,0.3574879,0.3868613,0.3829787,0.4202898,0.3457944,0.3864734,0.368421,0.3688889,0.3807531,0.4104804,0.3856502,0.3948498,0.4593496,0.4864865,0.2028985,0.1304348,0.0966184,0.1932367,0.4522968,0.4393443,0.4481605,0.4020101,0.3429952,0.3264463,0.3814815,0.4192635,0.4265734,0.4202898,0.3693694,0.4299517,0.4570136,0.3333333,0.4637681,0.3925234,0.4347826,0.3682008,0.5426009,0.4672489,0.5555556,0.4007491,0.4042969,0.4056225,0.4017857,0.410628,0.423221,0.4906542
0.3964912,0,0.3894737,0.5592105,0.5438597,0.5508772,0.6596491,0.7152542,0.4421053,0.4596491,0.4666667,0.4280702,0.8,0.9192982,0.4385965,0.4807017,0.4035088,0.3964912,0.4807017,0.4982456,0.4280702,0.5192983,0.477193,0.6385965,0.554386,0.1894737,0.122807,0.1017544,0.2105263,0.477193,0.5901639,0.5317726,0.5653266,0.4140351,0.5122807,0.6315789,0.6260623,0.6363636,0.3052632,0.5585586,0.3192982,0.4421053,0.2385965,0.3192982,0.4175439,0.4701754,0.5719298,0.4526316,0.4140351,0.3438596,0.5684211,0.5527344,0.5562249,0.546875,0.3754386,0.6280702,0.5157894
0.3478261,0.3894737,0,0.2927631,0.3651452,0.3230769,0.3714286,0.3661017,0.3115578,0.3478261,0.3482587,0.3431373,0.3722628,0.3758865,0.3316583,0.2803738,0.3280423,0.254386,0.32,0.3138075,0.2489083,0.3991031,0.2575107,0.4146341,0.3828829,0.2025317,0.1455696,0.0886076,0.1898734,0.254417,0.2983606,0.2809364,0.3241206,0.3578947,0.3264463,0.4148148,0.3399433,0.3496504,0.3208556,0.3333333,0.3166667,0.3303168,0.2468354,0.2680412,0.3317757,0.4329897,0.3598326,0.309417,0.3100437,0.3439153,0.3595506,0.3066406,0.3052209,0.2946429,0.326087,0.3857678,0.3831776
0.4144737,0.5592105,0.2927631,0,0.5361842,0.5263158,0.5855263,0.6019737,0.3881579,0.4046053,0.3717105,0.4243421,0.5493421,0.5526316,0.3552631,0.4111842,0.3355263,0.5756579,0.4046053,0.4671053,0.4506579,0.430921,0.4473684,0.4638158,0.4144737,0.2335526,0.1118421,0.1118421,0.2203947,0.625,0.6557377,0.6546053,0.59799,0.3848684,0.444079,0.5131579,0.6345609,0.5,0.3355263,0.5705706,0.3256579,0.4276316,0.2894737,0.3355263,0.4013158,0.3388158,0.4506579,0.444079,0.5098684,0.4078947,0.5,0.5917969,0.5943775,0.6116071,0.3881579,0.5690789,0.3947369
0.3858921,0.5438597,0.3651452,0.5361842,0,0.6230769,0.575,0.579661,0.4605809,0.4979253,0.439834,0.3858921,0.5656934,0.535461,0.4688797,0.4439834,0.4149378,0.3692946,0.6016598,0.5103735,0.5145229,0.4647303,0.4813278,0.5528455,0.4937759,0.219917,0.1701245,0.1161826,0.219917,0.4734982,0.5147541,0.4949833,0.4849246,0.4273859,0.4545455,0.537037,0.4872521,0.472028,0.3609959,0.4744745,0.3775934,0.4688797,0.2614108,0.3526971,0.4190871,0.4315353,0.5228216,0.4854772,0.5103735,0.4024896,0.5205992,0.4667969,0.4698795,0.4665179,0.439834,0.5543071,0.4688797
0.3730769,0.5508772,0.3230769,0.5263158,0.6230769,0,0.5964286,0.5694915,0.4423077,0.4653846,0.4038461,0.3692308,0.6021898,0.5531915,0.4384615,0.4653846,0.4153846,0.3961538,0.5115384,0.6346154,0.5884615,0.4692308,0.5192308,0.55,0.5038462,0.2038462,0.1461539,0.1192308,0.2230769,0.5547703,0.5606557,0.5451505,0.5050251,0.4461538,0.45,0.5740741,0.5042493,0.513986,0.3884615,0.5195195,0.3461539,0.4384615,0.25,0.3807692,0.4076923,0.3846154,0.4769231,0.5115384,0.4653846,0.4307692,0.5617977,0.5078125,0.5080321,0.4977679,0.3884615,0.5730337,0.4769231
0.3928571,0.6596491,0.3714286,0.5855263,0.575,0.5964286,0,0.6644068,0.4678572,0.4678572,0.4714286,0.4107143,0.6642857,0.6631206,0.4321429,0.5035715,0.4285714,0.4142857,0.4714286,0.5321429,0.4642857,0.55,0.4607143,0.6285715,0.55,0.2178571,0.1321429,0.1142857,0.1928571,0.5547703,0.5836065,0.6020067,0.5552764,0.375,0.4785714,0.5928571,0.6090652,0.5874126,0.3428572,0.5735736,0.3535714,0.4571429,0.2678571,0.35,0.4285714,0.4464286,0.4714286,0.5321429,0.4535714,0.4071428,0.5464286,0.546875,0.5542169,0.5625,0.4214286,0.8392857,0.5178571
0.4135593,0.7152542,0.3661017,0.6019737,0.579661,0.5694915,0.6644068,0,0.4305085,0.4644068,0.4576271,0.4237288,0.6881356,0.6915254,0.4135593,0.4474576,0.3932203,0.3966102,0.4949152,0.4983051,0.461017,0.4779661,0.4745763,0.6508474,0.5627118,0.1932203,0.1322034,0.1254237,0.1966102,0.5355932,0.6819672,0.5919732,0.5904523,0.3932203,0.4677966,0.6305085,0.6997167,0.640678,0.3423729,0.5975976,0.3491525,0.4881356,0.2644068,0.3288136,0.3661017,0.4847458,0.5864407,0.5084746,0.4067796,0.3288136,0.5694915,0.5722656,0.5783132,0.5803571,0.3898305,0.6474576,0.5491526
0.4057971,0.4421053,0.3115578,0.3881579,0.4605809,0.4423077,0.4678572,0.4305085,0,0.6859903,0.6766169,0.3235294,0.459854,0.4503546,0.4673367,0.3925234,0.3165829,0.3245614,0.44,0.3807531,0.3362446,0.3946188,0.360515,0.4878049,0.4459459,0.1909548,0.1105528,0.1105528,0.1758794,0.4169611,0.4327869,0.4414716,0.4070352,0.3266332,0.4090909,0.3777778,0.4107649,0.4475524,0.361809,0.4084084,0.3517588,0.3484163,0.2864321,0.361809,0.4392523,0.4673367,0.3933055,0.4484305,0.3668122,0.3969849,0.3483146,0.3847656,0.3955823,0.3794643,0.361809,0.4981273,0.4392523
0.3574879,0.4596491,0.3478261,0.4046053,0.4979253,0.4653846,0.4678572,0.4644068,0.6859903,0,0.4975846,0.3864734,0.4708029,0.4574468,0.468599,0.4252336,0.3623188,0.3640351,0.4577778,0.4100418,0.3842795,0.4439462,0.3648069,0.504065,0.463964,0.1980676,0.1304348,0.1449275,0.2028985,0.409894,0.4590164,0.451505,0.4221106,0.3816425,0.446281,0.4555556,0.427762,0.465035,0.3719807,0.4204204,0.3285024,0.4117647,0.2657005,0.3140097,0.4065421,0.4541063,0.4686193,0.4170403,0.3755459,0.3574879,0.4194756,0.4023438,0.4096386,0.4017857,0.3574879,0.4719101,0.4579439
